Date,Open,High,Low,Close,Volume,Adj Close
28-08-2012,2399.448,2449.5,2399.448,2423.3999,306900,470.37082
27-08-2012,2423.19995,2446,2405.85205,2410.552,171700,467.8771
24-08-2012,2449,2459.052,2437.3999,2445.35205,243900,474.63163
23-08-2012,2434,2477.80005,2423.19995,2471.5,425400,479.70683
22-08-2012,2406,2436,2392.69995,2429.3999,372500,471.53539
21-08-2012,2362,2438.75195,2362,2407.052,646200,467.19776
20-08-2012,2351.3999,2351.3999,2351.3999,2351.3999,0,456.39595
17-08-2012,2320,2355,2317.75195,2351.3999,383700,456.39595
16-08-2012,2329.948,2329.948,2302.19995,2314.24805,160500,449.18494
15-08-2012,2329.948,2329.948,2329.948,2329.948,0,452.23223
14-08-2012,2312,2334,2290,2329.948,210500,452.23223
13-08-2012,2302,2330,2300.14795,2318.8999,184100,450.08785
10-08-2012,2276,2320,2265,2313.14795,315000,448.97142
09-08-2012,2286,2309.948,2271.1001,2279,301900,442.34346
08-08-2012,2268,2291,2259.14795,2281.8999,501100,442.90632
07-08-2012,2226,2268.5,2224.19995,2255.69995,370300,437.82102
06-08-2012,2216,2233,2207.5,2213.552,141100,429.6403
03-08-2012,2198,2220,2186.1001,2209.30005,225100,428.81502
02-08-2012,2215,2228,2197,2205.85205,126400,428.14578
01-08-2012,2229,2231.85205,2202,2219.052,206100,430.70783
31-07-2012,2210,2232.30005,2185.1001,2227.3999,345400,432.32811
30-07-2012,2155.24805,2215,2155.24805,2209.448,334200,428.84373
27-07-2012,2161.1001,2164.80005,2111.14795,2148.85205,346600,417.08234
26-07-2012,2167,2167,2101.64795,2125,692900,412.45276
25-07-2012,2175,2179.8999,2150,2167.80005,455100,420.76006
24-07-2012,2199.80005,2211,2166.30005,2169.35205,275600,421.06129
23-07-2012,2200,2210,2181,2186.14795,334500,424.3213
20-07-2012,2245,2245,2205.948,2217.6001,347300,430.42602
19-07-2012,2200,2248.5,2195,2242.85205,727100,435.32731
18-07-2012,2173,2189.30005,2163.5,2175.80005,390400,422.31282
17-07-2012,2185,2197.69995,2163,2170.85205,1031500,421.35244
16-07-2012,2239,2242.052,2164,2172.6001,1404000,421.69172
13-07-2012,2239.69995,2258.6001,2220.1001,2227.80005,1301500,432.40578
12-07-2012,2270,2280,2216.052,2265.24805,4976000,439.67427
11-07-2012,2449.8999,2503.3999,2444,2466.35205,535500,478.70763
10-07-2012,2450,2462,2436,2459.1001,193200,477.30006
09-07-2012,2430,2469,2403,2436.80005,237600,472.97172
06-07-2012,2489,2489,2439.1001,2443.85205,288100,474.34048
05-07-2012,2480,2487.14795,2465,2480.19995,504800,481.39545
04-07-2012,2496,2504.30005,2470,2479.30005,304900,481.22078
03-07-2012,2510,2512,2477,2495.75195,198700,484.41402
02-07-2012,2497,2519,2491.052,2501.1001,189100,485.45207
29-06-2012,2490.1001,2515,2475,2502.552,231000,485.73388
28-06-2012,2475,2496.052,2451.3999,2472.69995,718700,479.93973
27-06-2012,2451.052,2474,2442.052,2468.552,196800,479.13463
26-06-2012,2455,2456,2431.30005,2442.5,319300,474.07806
25-06-2012,2484,2489.448,2459,2468.35205,762500,479.09582
22-06-2012,2449,2484.24805,2443,2475.1001,615400,480.40559
21-06-2012,2455,2501.448,2442.30005,2492.19995,228900,483.72459
20-06-2012,2480,2484.80005,2454.8999,2470.64795,281500,479.54145
19-06-2012,2500,2505.69995,2456.30005,2478.552,339900,481.07559
18-06-2012,2532,2544.3999,2495.552,2510.8999,355000,487.35417
15-06-2012,2512,2535,2504,2520.052,401700,489.13055
14-06-2012,2469,2510,2459.75195,2498.19995,710800,484.88916
13-06-2012,2450,2487.5,2442.24805,2471.19995,289700,479.64859
12-06-2012,2411.1001,2466.35205,2410,2457.14795,175300,476.92116
11-06-2012,2426,2452,2416.14795,2426.948,213500,471.05949
08-06-2012,2439,2455.448,2393,2419.19995,285200,469.55563
07-06-2012,2425.19995,2464,2425.19995,2452.948,299400,476.10597
06-06-2012,2392.052,2427.5,2392.052,2410.052,212200,467.78005
05-06-2012,2388,2410,2375,2389.30005,740800,463.75219
04-06-2012,2370,2398,2345,2388.35205,250900,463.56819
01-06-2012,2440,2440,2378,2387.80005,638000,463.46105
31-05-2012,2419.948,2497,2390.24805,2439.85205,285900,473.5641
30-05-2012,2410,2451.69995,2391.75195,2422.448,333800,470.18606
29-05-2012,2398.69995,2423,2378.1001,2406.948,292400,467.17758
28-05-2012,2395,2395.052,2364,2387.64795,278900,463.43153
25-05-2012,2352,2384,2351.552,2372,215300,460.39433
24-05-2012,2360,2383,2314.1001,2376.64795,383400,461.29648
23-05-2012,2346,2364.30005,2309.448,2348.19995,434400,438.69446
22-05-2012,2370,2370,2330.19995,2342.30005,456200,437.59223
21-05-2012,2396,2396,2328.052,2344.5,496200,438.00323
18-05-2012,2326,2399,2305,2385.3999,331500,445.64421
17-05-2012,2367.5,2376.69995,2347.64795,2371.35205,385300,443.01977
16-05-2012,2377.24805,2383,2355,2366.3999,303000,442.0946
15-05-2012,2309,2424.3999,2309,2411.19995,426800,450.46422
14-05-2012,2324,2345.35205,2304.5,2338,519400,436.78889
11-05-2012,2346,2359.5,2293.1001,2311.85205,630400,431.90389
10-05-2012,2367,2384.8999,2329,2348.19995,790500,438.69446
09-05-2012,2368,2393.69995,2358.3999,2367.69995,443700,442.33748
08-05-2012,2400,2405.69995,2330.30005,2391.948,576800,446.86754
07-05-2012,2403,2445.19995,2368,2430.6001,380000,454.08859
04-05-2012,2472.24805,2498,2424.80005,2441.14795,421000,456.05915
03-05-2012,2450,2495.8999,2450,2484.35205,1068400,464.13061
02-05-2012,2466,2488.35205,2462.6001,2471.24805,400500,461.6825
01-05-2012,2462.6001,2462.6001,2462.6001,2462.6001,0,460.06688
30-04-2012,2390,2467,2386,2462.6001,579900,460.06688
27-04-2012,2356,2399,2356,2390.19995,1490400,446.54097
26-04-2012,2348.1001,2378,2341.19995,2358.19995,1188200,440.56268
25-04-2012,2356,2365.75195,2305,2348.80005,1315400,438.80657
24-04-2012,2310,2364.8999,2200,2348.552,3168600,438.76023
23-04-2012,2396,2396,2306.24805,2311.948,1576400,431.92181
20-04-2012,2387.24805,2427.69995,2365,2406.24805,783000,449.5391
19-04-2012,2370,2408.5,2368.448,2404.14795,984300,449.14675
18-04-2012,2400,2402.948,2357,2373.052,1300400,443.33736
17-04-2012,2391.1001,2393.8999,2336,2380.75195,1308600,444.77588
16-04-2012,2381,2426.30005,2336.14795,2369.35205,2335500,442.64613
13-04-2012,2540,2540,2390.1001,2403.30005,6100200,448.98835
12-04-2012,2830,2839.8999,2740.1001,2750.052,374800,513.7691
11-04-2012,2765,2825,2742,2802.35205,381200,523.53988
10-04-2012,2848,2848,2740,2776.80005,294400,518.76621
09-04-2012,2841.14795,2857.552,2814.052,2822.75195,441300,527.35102
06-04-2012,2850.448,2850.448,2850.448,2850.448,0,532.52524
05-04-2012,2850.448,2850.448,2850.448,2850.448,0,532.52524
04-04-2012,2859.5,2874,2843.30005,2850.448,147300,532.52524
03-04-2012,2874,2875,2843.5,2855.19995,329500,533.41301
02-04-2012,2865,2887.69995,2843,2853.75195,134500,533.14249
30-03-2012,2800,2870,2800,2864.948,1563100,535.23415
29-03-2012,2839.8999,2839.8999,2769.948,2791,342500,521.41907
28-03-2012,2869.8999,2873.19995,2823.6001,2841.552,175300,530.86328
27-03-2012,2857,2900,2833,2875.35205,798500,537.17786
26-03-2012,2852,2868,2821,2831.448,178200,528.97563
23-03-2012,2839,2885,2833,2870.35205,172900,536.24375
22-03-2012,2867,2873,2817.5,2827,182300,528.14465
21-03-2012,2827.19995,2890,2823.052,2866.8999,181900,535.59881
